Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@0.5:0.95,#1,#2,#3
     0/149,     9.21G,   0.07821,   0.01119,   0.02052,    0.1099,       118,       640,    0.1223,   0.05819,   0.05094,   0.01707,    0.0948,  0.007759,   0.02126
     1/149,      8.8G,   0.06124,  0.007401,   0.01359,   0.08223,       119,       640,    0.3783,     0.309,    0.2298,   0.07474,   0.07957,  0.008728,   0.01598
     2/149,      8.8G,   0.05664,  0.006846,   0.01024,   0.07372,        90,       640,    0.4841,    0.3356,    0.3484,    0.1322,   0.07859,  0.007917,   0.01312
     3/149,      8.8G,   0.05325,  0.006634,  0.008088,   0.06798,        99,       640,    0.6192,    0.4651,    0.4704,    0.1933,   0.07116,  0.007883,   0.01191
     4/149,      8.8G,   0.04956,  0.006477,  0.006884,   0.06292,        76,       640,    0.6946,    0.4424,    0.5047,    0.2629,   0.06748,  0.008391,   0.01097
     5/149,      8.8G,   0.04754,  0.006454,  0.006017,   0.06001,       106,       640,    0.7538,    0.5571,    0.6066,    0.3047,   0.06277,  0.008513,  0.009897
     6/149,      8.8G,   0.04602,  0.006223,  0.005494,   0.05773,        80,       640,    0.8084,    0.5264,    0.6221,    0.3224,   0.06282,  0.008059,  0.009119
     7/149,      8.8G,   0.04493,   0.00595,   0.00522,    0.0561,        75,       640,    0.7879,    0.5872,    0.6573,      0.34,   0.06236,  0.008111,  0.008971
     8/149,      8.8G,   0.04381,  0.005888,  0.004973,   0.05467,        95,       640,    0.7816,    0.5512,    0.6051,    0.3322,   0.05958,  0.008766,  0.008693
     9/149,      8.8G,   0.04356,  0.005939,  0.004944,   0.05444,       101,       640,    0.7998,    0.5918,    0.6507,    0.3456,   0.05994,  0.008436,  0.007277
    10/149,      8.8G,   0.04351,  0.006028,  0.004933,   0.05447,        94,       640,    0.6975,    0.4657,    0.5374,    0.2785,   0.06359,  0.008059,  0.009597
    11/149,      8.8G,     0.043,  0.006117,  0.004873,   0.05399,        93,       640,    0.7112,    0.5212,    0.5809,    0.3123,   0.06117,  0.008125,   0.01021
    12/149,      8.8G,   0.04337,  0.006192,  0.004872,   0.05443,       108,       640,     0.564,    0.4035,    0.4341,    0.2133,   0.06009,  0.009974,   0.01172
    13/149,      8.8G,   0.04342,  0.006019,   0.00484,   0.05428,       114,       640,    0.6969,    0.4896,    0.5797,    0.3003,   0.05881,  0.009463,  0.008128
    14/149,     5.87G,   0.04295,  0.006236,  0.004814,     0.054,       118,       640,    0.7814,    0.4697,    0.5506,    0.2885,   0.05841,  0.009881,  0.007561
    15/149,     9.42G,    0.0416,  0.006177,  0.004618,    0.0524,       119,       640,    0.7175,    0.4643,    0.5088,    0.2673,   0.05857,  0.008945,  0.008289
    16/149,     9.42G,   0.04095,  0.006006,  0.004332,   0.05129,        90,       640,    0.7744,    0.5242,    0.6343,    0.3417,   0.05461,  0.008972,  0.007994
    17/149,     9.42G,   0.04025,  0.005991,  0.004257,    0.0505,        99,       640,    0.7193,    0.6214,    0.6708,    0.3622,    0.0539,  0.008585,  0.008142
    18/149,     9.42G,   0.03885,  0.005945,  0.004011,    0.0488,        76,       640,     0.774,    0.5738,    0.6245,    0.3342,   0.05692,  0.008599,   0.00789
    19/149,     9.42G,   0.03836,  0.005983,  0.003815,   0.04816,       106,       640,    0.7587,    0.5641,    0.6655,    0.3717,   0.05334,  0.008507,  0.008126
    20/149,     9.42G,   0.03803,  0.005882,  0.003724,   0.04763,        80,       640,    0.8079,    0.5683,    0.6762,    0.3702,   0.05443,  0.008215,  0.008296
    21/149,     9.42G,   0.03747,  0.005752,  0.003645,   0.04686,        75,       640,    0.8768,    0.6508,    0.7456,    0.4277,   0.05431,  0.007601,   0.00651
