Epoch, gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@0.5:0.95, #1, #2,#3  
0/99, 17.7G,   0.07456,   0.01127,  0.02165,    0.1075,       79,      640, 3.822e-05,   0.02573, 8.639e-06, 1.582e-06,    0.0935,  0.009938 ,  0.01901
1/99, 40G,    0.0709,  0.007704,   0.01897,   0.09757,         67,       640, 4.411e-05,   0.02573, 1.299e-05, 2.651e-06,  0.09404,  0.009355,   0.01908
2/99, 40G,   0.07011,  0.007403,   0.01824,   0.09575,         57,       640,  0.001224,   0.03564, 4.924e-05, 9.012e-06,  0.09177,  0.009763,   0.01938
3/99, 40G,   0.06757,  0.007867,   0.01793,   0.09337,         66,       640, 0.0009601,   0.07431,  5.56e-05, 9.405e-06,  0.09059,  0.009966,   0.01937
4/99, 40G,    0.0652,  0.008461,   0.01754,    0.0912,         75,       640,    0.3387,   0.01871, 0.0006509,  7.77e-05,  0.08719,   0.01064,   0.01909
5/99, 40G,   0.06241,  0.008936,   0.01672,   0.08807,         75,       640,    0.3367,  0.004474,  0.000585, 0.0001094,  0.08622,   0.01079,   0.01888
6/99, 40G,   0.06029,   0.00927,   0.01564,    0.0852,         92,       640,     0.379,   0.02355,  0.005847,  0.001279,  0.08591,   0.01081,   0.01743
7/99, 40G,   0.05863,  0.009183,   0.01442,   0.08223,         91,       640,    0.3669,   0.04853,   0.00999,  0.001964,  0.08024,   0.01149,   0.01689
8/99, 40G,   0.05701,  0.008976,   0.01333,   0.07932,         85,       640,    0.4339,   0.05062,   0.02639,   0.00812,  0.08374,   0.01042,   0.01589
9/99, 40G,   0.05576,  0.008873,   0.01203,   0.07667,        100,       640,    0.4791,   0.08587,   0.05602,   0.01954,  0.07917,   0.01106,   0.01568
10/99, 40G,    0.0546,  0.008922,   0.01119,   0.07471,       106,       640,     0.439,     0.141,    0.0816,   0.02752,   0.08071,   0.01025,   0.01488
12/99, 40G,    0.0527,  0.008581,  0.009207,   0.07049,        84,       640,    0.1891,    0.1687,    0.1292,    0.0553,   0.07549,    0.0108,   0.01331
11/99, 40G,   0.05384,  0.008568,   0.01046,   0.07287,        55,       640,    0.1789,    0.1763,   0.09173,   0.02971,   0.07686,   0.01059,   0.01384
13/99, 40G,   0.05153,  0.008154,  0.008416,    0.0681,        68,       640,    0.4404,    0.1863,    0.1545,   0.06031,   0.07494,   0.01084,   0.01331
14/99, 40G,   0.05006,  0.008108,  0.008401,   0.06656,        94,       640,    0.5442,    0.2485,    0.2707,    0.1119,   0.07088,   0.01066,   0.01115
15/99, 40G,    0.0484,  0.008055,  0.007698,   0.06415,        84,       640,    0.4953,    0.2602,    0.2577,    0.1022,   0.07237,  0.009993,   0.01032
16/99, 40G,    0.0471,  0.007902,   0.00712,   0.06212,       104,       640,    0.3984,    0.2924,    0.2773,    0.1184,   0.07056,   0.01094,   0.01005
17/99, 40G,   0.04549,  0.007735,  0.006487,   0.05971,        77,       640,    0.5176,    0.4236,      0.44,    0.1973,   0.06633,  0.009685,  0.008967
18/99, 40G,   0.04441,  0.007738,  0.006471,   0.05862,        83,       640,    0.3784,    0.2899,    0.2759,    0.1171,   0.07357,   0.01061,   0.01151
19/99, 40G,   0.04343,  0.007497,  0.006065,   0.05699,        62,       640,    0.5729,    0.3032,     0.365,    0.1732,   0.06759,      0.01,  0.009783
20/99, 40G,   0.04269,  0.007443,  0.005705,   0.05584,        65,       640,    0.7074,    0.3765,    0.4501,    0.2232,   0.06369,   0.01027,  0.009107
21/99, 40G,   0.04196,  0.007383,  0.005776,   0.05512,        82,       640,    0.6013,    0.3687,    0.4242,    0.1978,   0.06416,  0.009863,  0.009919
22/99, 40G,   0.04104,  0.007221,  0.005427,   0.05368,        88,       640,    0.6144,     0.421,      0.49,     0.245,    0.0641,  0.009595,  0.008276
23/99, 40G,   0.04041,  0.007193,  0.005419,   0.05302,       101,       640,    0.6447,    0.5154,    0.5784,    0.2993,   0.06226,   0.00925,  0.007377
24/99, 40G,      0.04,  0.007221,  0.005161,   0.05239,        67,       640,    0.7836,    0.4821,    0.6131,     0.318,   0.05845,  0.009443,  0.007054
25/99, 40G,   0.03904,   0.00701,  0.004996,   0.05104,        87,       640,    0.6444,    0.5599,    0.6015,    0.3048,    0.0588,  0.009492,  0.006653
26/99, 40G,   0.03855,     0.007,  0.004651,    0.0502,        70,       640,    0.7964,    0.4921,    0.6126,    0.3476,   0.05772,  0.008874,  0.007314
27/99, 40G,   0.03788,  0.006917,  0.004367,   0.04916,        66,       640,    0.7123,    0.4603,    0.5551,     0.297,    0.0587,  0.009073,  0.007471
28/99, 40G,   0.03706,  0.006786,  0.004358,   0.04821,        75,       640,    0.7912,    0.5959,    0.6917,    0.3734,   0.05819,  0.008498,  0.006571
29/99, 40G,   0.03697,  0.006716,  0.004468,   0.04816,        79,       640,    0.8118,    0.6047,    0.6998,    0.3665,   0.05515,  0.009659,  0.006847
